NAME	OVER	POS	R/L	Batting #	B. AVG	TEAM	A/H	OPP	OPP RANK	OPP RANK LYR	PROP	LINE	LAST (old ➡️ new)	AVG	% OVER	L10 % OVER	CAREER % OVER	% OVER VS TEAM	VS TEAM	PITCHER	THROWS	VS PITCHER	UNDER
Aaron Nola	+0	SP	R	-	.220	PHI	@	MIN	-	-	hits_allowed_milestones	0		0.0	0%	0%	0%	0%	3.0 IP 2 K, 7 H, 3 BB	Festa	R		'+240
Justin Steele	+0	SP	L	-	.215	CHC	v	MIL	-	-	hits_allowed_milestones	0		0.0	0%	0%	0%	0%	31.0 IP 34 K, 18 H, 2 BB	Junis	R		'+270
Cal Quantrill	+0	SP	R	-	.255	COL	v	BOS	-	-	hits_allowed_milestones	0		0.0	0%	0%	0%	0%	23.1 IP 20 K, 26 H, 8 BB	Pivetta	R		-180
Nick Pivetta	+0	SP	R	-	.223	BOS	@	COL	-	-	hits_allowed_milestones	0		0.0	0%	0%	0%	0%	0.2 IP 0 K, 0 H, 3 BB	Quantrill	R		'+130
Hunter Brown	+0	SP	R	-	.253	HOU	@	OAK	-	-	hits_allowed_milestones	0		0.0	0%	0%	0%	0%	24.0 IP 30 K, 15 H, 5 BB	Sears	L		'+235
Jp Sears	+0	SP	L	-	.257	OAK	v	HOU	-	-	hits_allowed_milestones	0		0.0	0%	0%	0%	0%	28.2 IP 14 K, 18 H, 4 BB	Brown	R		-150
Griffin Canning	+0	SP	R	-	.271	LAA	@	SEA	-	-	hits_allowed_milestones	0		0.0	0%	0%	0%	0%	11.2 IP 11 K, 7 H, 0 BB	Castillo	R		'+380
Luis Castillo	+0	SP	R	-	.234	SEA	v	LAA	-	-	hits_allowed_milestones	0		0.0	0%	0%	0%	0%	36.2 IP 41 K, 21 H, 7 BB	Canning	R		'+215
Jack Flaherty	+0	SP	R	-	.215	DET	@	CLE	-	-	hits_allowed_milestones	0		0.0	0%	0%	0%	0%	19.0 IP 14 K, 7 H, 1 BB	Bibee	R		'+155
Tanner Bibee	+0	SP	R	-	.225	CLE	v	DET	-	-	hits_allowed_milestones	0		0.0	0%	0%	0%	0%	19.2 IP 21 K, 12 H, 5 BB	Flaherty	R		'+200
Edward Cabrera	+0	SP	R	-	.269	MIA	v	BAL	-	-	hits_allowed_milestones	0		0.0	0%	0%	0%	0%		Mcdermott	R		'+370
Matt Waldron	+0	SP	R	-	.235	SD	@	WSH	-	-	hits_allowed_milestones	0		0.0	0%	0%	0%	0%	10.2 IP 10 K, 4 H, 1 BB	Parker	L		'+115
Mitchell Parker	+0	SP	L	-	.237	WSH	v	SD	-	-	hits_allowed_milestones	0		0.0	0%	0%	0%	0%		Waldron	R		'+175
Gerrit Cole	+0	SP	R	-	0	NYY	v	NYM	-	-	hits_allowed_milestones	0		0.0	0%	0%	0%	0%	10.0 IP 8 K, 4 H, 0 BB	Manaea	L		'+190
Sean Manaea	+0	SP	L	-	.226	NYM	@	NYY	-	-	hits_allowed_milestones	0		0.0	0%	0%	0%	0%	39.1 IP 43 K, 29 H, 10 BB	Cole	R		'+280
Yariel Rodriguez	+0	SP	R	-	.228	TOR	v	TB	-	-	hits_allowed_milestones	0		0.0	0%	0%	0%	0%		Eflin	R		'+425
Zach Eflin	+0	SP	R	-	.261	TB	@	TOR	-	-	hits_allowed_milestones	0		0.0	0%	0%	0%	0%	18.2 IP 8 K, 6 H, 2 BB	Rodriguez	R		'+115
Chris Flexen	+0	SP	R	-	.259	CHW	@	TEX	-	-	hits_allowed_milestones	0		0.0	0%	0%	0%	0%	3.0 IP 5 K, 7 H, 1 BB	Eovaldi	R		'+150
Nathan Eovaldi	+0	SP	R	-	.220	TEX	v	CHW	-	-	hits_allowed_milestones	0		0.0	0%	0%	0%	0%	6.0 IP 4 K, 5 H, 2 BB	Flexen	R		'+210
Michael Wacha	+0	SP	R	-	.243	KC	v	ARI	-	-	hits_allowed_milestones	0		0.0	0%	0%	0%	0%	4.0 IP 3 K, 10 H, 1 BB	Nelson	R		'+185
Ryne Nelson	+0	SP	R	-	.286	ARI	@	KC	-	-	hits_allowed_milestones	0		0.0	0%	0%	0%	0%	5.0 IP 3 K, 11 H, 0 BB	Wacha	R		-155
